imovel,estado,cidade,bairro,preco,preco_aprox,preco_dol,area_total,area,preco_dol_m2,preco_m2
apartamento,São Paulo,São Paulo,Jardim Paulista,15000.0,15143.9,4734.5,350.0,275.0,17.2,54.5
casa,São Paulo,São Paulo,Piqueri,2500.0,2538.2,793.6,180.0,150.0,5.3,16.7
apartamento,São Paulo,São Paulo,Brooklin,3000.0,3045.9,952.3,100.0,49.0,19.4,61.2
apartamento,São Paulo,São Paulo,Vila Santa Catarina,1500.0,1514.4,473.4,1000.0,96.0,4.9,15625.0
apartamento,São Paulo,Indaiatuba,Jardim Sevilha,1200.0,1197.7,374.5,0.0,69.0,5.4,17.4
apartamento,São Paulo,São José dos Campos,Jardim Ismênia,810.0,808.5,252.8,0.0,56.0,4.5,14.5
apartamento,São Paulo,Piracicaba,Piracicamirim,700.0,698.7,218.4,52.0,52.0,4.2,13.5
apartamento,São Paulo,Campinas,Centro,500.0,504.8,157.8,35.0,35.0,4.5,14.3
apartamento,São Paulo,São Bernardo do Campo,,900.0,898.3,280.8,0.0,54.0,5.2,16.7
apartamento,São Paulo,São Paulo,Itaim Bibi,5880.0,5936.4,1855.9,195.0,180.0,10.3,32.7
loja,Rio de Janeiro,Rio de Janeiro,Barra da Tijuca,1500.0,1497.2,468.1,43.0,43.0,10.9,34.9
apartamento,São Paulo,São Paulo,Brooklin Paulista,6900.0,6887.1,2153.2,0.0,70.0,30.8,98.6
apartamento,São Paulo,Arujá,,1200.0,1197.7,374.5,0.0,65.0,5.8,18.5
apartamento,São Paulo,São Paulo,Brooklin Novo,4400.0,4391.7,1373.0,84.0,84.0,16.3,52.4
apartamento,São Paulo,Piracicaba,Vila Monteiro,500.0,499.0,156.0,55.0,55.0,2.8,9.1
apartamento,São Paulo,São Paulo,Pinheiros,3950.0,3987.9,1246.8,0.0,46.0,27.1,85.9
apartamento,São Paulo,São Paulo,Consolação,1980.0,1976.3,617.9,65.0,65.0,9.5,30.5
loja,São Paulo,São Paulo,Cidade Monções,13118.0,13093.4,4093.5,187.0,200.0,20.5,65.6
apartamento,São Paulo,São Paulo,Jabaquara,1600.0,1597.0,499.3,48.0,48.0,10.4,33.3
apartamento,São Paulo,Ribeirão Preto,Jardim Botânico,2000.0,1996.2,624.1,0.0,108.0,5.8,18.5
apartamento,São Paulo,São Paulo,Cerqueira César,1600.0,1630.2,509.6,45.0,45.0,11.3,35.6
apartamento,São Paulo,Piracicaba,Vila Independência,1600.0,1597.0,499.3,106.0,106.0,4.7,15.1
apartamento,São Paulo,São Paulo,Cerqueira César,5500.0,5489.7,1716.3,0.0,160.0,10.7,34375.0
apartamento,São Paulo,São Paulo,Jardim América,8000.0,7985.0,2496.4,165.0,165.0,15.1,48.5
apartamento,São Paulo,Arujá,,1400.0,1397.4,436.9,0.0,53.0,8.2,26.4
apartamento,São Paulo,Piracicaba,Centro,800.0,798.5,249.6,36.0,36.0,6.9,22.2
apartamento,São Paulo,Piracicaba,Centro,1000.0,998.1,312.0,75.0,75.0,4.2,13.3
apartamento,São Paulo,São Paulo,Alto da Boa Vista,17030.0,16998.1,5314.2,0.0,329.0,16.2,51.8
apartamento,São Paulo,São Paulo,Morumbi,2500.0,2495.3,780.1,96.0,96.0,8.1,26.0
apartamento,São Paulo,São Paulo,Cerqueira César,2700.0,2694.9,842.5,90.0,90.0,9.4,30.0
apartamento,Rio de Janeiro,Rio de Janeiro,Taquara,900.0,898.3,280.8,52.0,51.0,5.5,17.6
apartamento,São Paulo,Arujá,,1300.0,1319.9,412.6,0.0,54.0,7.6,24.1
casa,São Paulo,São Paulo,Jardim Paulistano,25000.0,25239.9,7890.9,900.0,480.0,16.4,52.1
loja,São Paulo,Taubaté,,2000.0,1996.2,624.1,0.0,43.0,14.5,46.5
casa,Rio de Janeiro,Rio de Janeiro,Jardim Botânico,20000.0,19962.5,6241.0,451.0,451.0,13.8,44.3
loja,São Paulo,São Paulo,Bom Retiro,6500.0,6562.3,2051.6,110.0,110.0,18.7,59.1
apartamento,Rio de Janeiro,Rio de Janeiro,Copacabana,2400.0,2423.0,757.5,23.0,23.0,32.9,104.3
apartamento,São Paulo,São Paulo,Saúde,2900.0,2894.5,904.9,0.0,351.0,2.6,8.3
loja,São Paulo,São Paulo,Moema,25000.0,25239.9,7890.9,0.0,304.0,26.0,82.2
apartamento,São Paulo,Cotia,Chácara Pavoeiro,3800.0,3792.9,1185.8,161.0,211.0,5.6,18.0
apartamento,São Paulo,São Paulo,Higienópolis,5400.0,5389.9,1685.1,0.0,158.0,10665.0,34.2
apartamento,São Paulo,São Paulo,Vila Olímpia,4480.0,4471.6,1398.0,0.0,74.0,18.9,60.5
apartamento,Rio de Janeiro,Rio de Janeiro,Ipanema,8000.0,8076.8,2525.1,160.0,160.0,15.8,50.0
apartamento,São Paulo,São Paulo,Vila Uberabinha,20000.0,19962.5,6241.0,245.0,245.0,25.5,81.6
apartamento,São Paulo,São Paulo,Vila Leopoldina,3300.0,3331.7,1041.6,0.0,88.0,11.8,37.5
apartamento,São Paulo,São Paulo,Consolação,2800.0,2794.7,873.7,0.0,60.0,14.6,46.7
loja,São Paulo,Piracicaba,Centro,800.0,798.5,249.6,57.0,57.0,4.4,14.0
apartamento,São Paulo,São Paulo,Pinheiros,7300.0,7286.3,2278.0,0.0,57.0,40.0,128.1
apartamento,São Paulo,São Paulo,Santo Amaro,13000.0,12975.6,4056.7,350.0,186.0,21.8,69.9
apartamento,São Paulo,São Paulo,Cerqueira César,3300.0,3293.8,1029.8,30.0,30.0,34.3,110.0
casa,São Paulo,Marília,,800.0,807.6,252.5,120.0,80.0,3.2,10.0
casa,São Paulo,Campinas,Jardim Novo Campos Elíseos,2700.0,2725.9,852.2,346.0,346.0,2.5,7.8
apartamento,São Paulo,São Paulo,Vila Nova Conceição,2000.0,1996.2,624.1,40.0,40.0,15.6,50.0
apartamento,São Paulo,São Paulo,Jardim Paulista,8000.0,7985.0,2496.4,178.0,178.0,14.0,44.9
apartamento,São Paulo,São Paulo,Santa Teresinha,2600.0,2595.1,811.3,80.0,80.0,10.1,32.5
loja,São Paulo,São Paulo,Brás,7500.0,7571.9,2367.3,130.0,130.0,18.2,57.7
apartamento,Rio de Janeiro,Rio de Janeiro,Barra da Tijuca,5500.0,5584.1,1745.8,84.0,84.0,20.8,65.5
apartamento,São Paulo,Indaiatuba,Vila Sfeir,2100.0,2096.0,655.3,0.0,138.0,4.7,15.2
apartamento,São Paulo,Campinas,Mansões Santo Antônio,1700.0,1716.3,536.6,70.0,70.0,7.7,24.3
apartamento,São Paulo,São Paulo,Vila Nova Conceição,25000.0,24953.2,7801.3,237.0,408.0,19.1,61.3
loja,São Paulo,São Paulo,Vila Nova Conceição,3250.0,3243.9,1014.2,0.0,55.0,18.4,59.1
apartamento,Rio de Janeiro,Rio de Janeiro,Barra da Tijuca,3000.0,2994.4,936.2,79.0,79.0,11.8,38.0
apartamento,São Paulo,São Paulo,Bela Vista,4400.0,4467.3,1396.6,116.0,116.0,12.0,37.9
apartamento,Rio de Janeiro,Rio de Janeiro,Copacabana,40000.0,40612.0,12696.8,0.0,300.0,42.3,133.3
loja,São Paulo,São Paulo,Vila Madalena,5500.0,5552.8,1736.0,0.0,210.0,8.3,26.2
loja,São Paulo,Piracicaba,,1800.0,1796.6,561.7,264.0,156.0,3.6,11.5
loja,São Paulo,São Paulo,Bela Vista,8000.0,7985.0,2496.4,147.0,147.0,17.0,54.4
loja,São Paulo,Piracicaba,Centro,15000.0,14971.9,4680.8,250.0,250.0,18.7,60.0
apartamento,São Paulo,São Paulo,Lapa,2500.0,2524.0,789.1,65.0,65.0,12.1,38.5
apartamento,São Paulo,São Paulo,Panamby,16000.0,15970.0,4992.8,480.0,400.0,12.5,40.0
apartamento,São Paulo,São Paulo,Chácara Inglesa,2000.0,1996.2,624.1,74.0,74.0,8.4,27.0
loja,São Paulo,São Paulo,Moóca,8800.0,8783.5,2746.0,160.0,220.0,12.5,40.0
apartamento,São Paulo,São Paulo,Perdizes,2800.0,2794.7,873.7,104.0,83.0,10.5,33.7
apartamento,São Paulo,São Paulo,Brooklin Paulista,6900.0,6887.1,2153.2,102.0,70.0,30.8,98.6
apartamento,Rio de Janeiro,Rio de Janeiro,Barra da Tijuca,4000.0,3992.5,1248.2,120.0,120.0,10.4,33.3
apartamento,São Paulo,Arujá,Centro,2000.0,1996.2,624.1,0.0,67.0,9.3,29.9
apartamento,São Paulo,São Paulo,Jardim Leonor,11000.0,10979.4,3432.6,400.0,311.0,11.0,35.4
apartamento,São Paulo,São José dos Campos,Parque Industrial,1200.0,1197.7,374.5,0.0,66.0,5.7,18.2
apartamento,Rio de Janeiro,Rio de Janeiro,Barra da Tijuca,2200.0,2195.9,686.5,0.0,73.0,9.4,30.1
casa,São Paulo,São Paulo,Moema,5500.0,5489.7,1716.3,205.0,205.0,8.4,26.8
apartamento,São Paulo,Campinas,Jardim Proença,2100.0,2096.0,655.3,124.0,124.0,5.3,16.9
apartamento,São Paulo,Piracicaba,,700.0,698.7,218.4,55.0,55.0,4.0,12.7
apartamento,São Paulo,São Paulo,Itaim Bibi,5000.0,4990.6,1560.2,65.0,65.0,24.0,76.9
casa,São Paulo,Campinas,Sousas,1800.0,1796.6,561.7,1600.0,120.0,4.7,15.0
apartamento,São Paulo,São Paulo,Brooklin,4500.0,4543.2,1420.4,200.0,94.0,15.1,47.9
loja,São Paulo,São Paulo,Cambuci,1500.0,1497.2,468.1,28.0,28.0,16.7,53.6
loja,São Paulo,São Paulo,Bela Vista,26000.0,25951.3,8113.3,324.0,330.0,24.6,78.8
apartamento,São Paulo,Piracicaba,Jardim Elite,700.0,698.7,218.4,50.0,50.0,4.4,14.0
casa,Minas Gerais,Poços de Caldas,,2000.0,2019.2,631.3,350.0,200.0,3.2,10.0
apartamento,São Paulo,Santana de Parnaíba,,2300.0,2295.7,717.7,85.0,85.0,8.4,27.1
loja,São Paulo,Campinas,,10000.0,9981.3,3120.5,1000.0,750.0,4.2,13.3
apartamento,São Paulo,São Paulo,Sumaré,3500.0,3493.4,1092.2,180.0,130.0,8.4,26.9
casa,São Paulo,Campinas,Jardim Santana,5000.0,4990.6,1560.2,1000.0,485.0,3.2,10.3
apartamento,São Paulo,São Paulo,Morumbi,1800.0,1817.2,568.1,108.0,60.0,9469.0,30.0
apartamento,São Paulo,Pindamonhangaba,,750.0,748.6,234.0,0.0,38.0,6.2,19.7
apartamento,São Paulo,São Paulo,Santa Cecília,1900.0,1896.4,592.9,30.0,30.0,19.8,63.3
loja,São Paulo,São Paulo,Chácara Santo Antônio,12000.0,12115.1,3787.6,550.0,400.0,9.5,30.0
casa,Rio de Janeiro,Rio de Janeiro,Recreio dos Bandeirantes,8000.0,7985.0,2496.4,350.0,250.0,10.0,32.0
apartamento,Minas Gerais,Belo Horizonte,São Pedro,2250.0,2245.8,702.1,0.0,151.0,4.6,14.9
apartamento,São Paulo,São Paulo,Pinheiros,7000.0,7067.1,2209.4,450.0,300.0,7.4,23.3
apartamento,São Paulo,São Paulo,Panamby,12000.0,11977.5,3744.6,650.0,336.0,11.1,35.7
apartamento,São Paulo,São Paulo,Moema,4200.0,4240.3,1325.7,100.0,70.0,18.9,60.0
apartamento,Minas Gerais,Belo Horizonte,Serrano,950.0,948.2,296.4,0.0,53.0,5.6,17.9
casa,São Paulo,Campinas,Jardim Flamboyant,4500.0,4491.6,1404.2,360.0,624.0,2.3,7.2
apartamento,São Paulo,São Paulo,Perdizes,2200.0,2195.9,686.5,130.0,74.0,9.3,29.7
loja,São Paulo,São Paulo,Vila Nova Conceição,3000.0,2994.4,936.2,47.0,47.0,19.9,63.8
casa,São Paulo,Sorocaba,,2800.0,2826.8,883.8,0.0,300.0,2.9,9.3
apartamento,São Paulo,Jacareí,Jardim Beira Rio,1600.0,1597.0,499.3,111.0,111.0,4.5,14.4
apartamento,São Paulo,São Paulo,Santo Amaro,2500.0,2495.3,780.1,33.0,33.0,23.6,75.8
apartamento,Minas Gerais,Belo Horizonte,Castelo,1200.0,1197.7,374.5,0.0,50.0,7.5,24.0
apartamento,São Paulo,São Paulo,Vila Leopoldina,2000.0,1996.2,624.1,80.0,48.0,13.0,41.7
loja,São Paulo,São Paulo,Moema,18000.0,18172.7,5681.4,190.0,190.0,29.9,94.7
apartamento,São Paulo,São Paulo,Vila Leopoldina,4200.0,4192.1,1310.6,0.0,151.0,8.7,27.8
apartamento,Rio de Janeiro,Rio de Janeiro,Copacabana,1900.0,1896.4,592.9,45.0,45.0,13.2,42.2
apartamento,São Paulo,São Paulo,Cerqueira César,2150.0,2146.0,670.9,44.0,44.0,15.2,48.9
loja,São Paulo,Piracicaba,Centro,6300.0,6288.2,1965.9,525.0,284.0,6.9,22.2
loja,São Paulo,São Paulo,Itaim Bibi,13000.0,12975.6,4056.7,180.0,180.0,22537.0,72.2
apartamento,São Paulo,Piracicaba,,650.0,648.8,202.8,45.0,45.0,4.5,14.4
apartamento,São Paulo,São Paulo,Jardins,2350.0,2345.6,733.3,50.0,50.0,14.7,47.0
casa,São Paulo,Piracicaba,Paulista,850.0,848.4,265.2,343.0,98.0,2.7,8.7
apartamento,São Paulo,São Paulo,Jardim América,3500.0,3493.4,1092.2,120.0,86.0,12.7,40.7
apartamento,São Paulo,São Paulo,Jardim Paulista,3300.0,3293.8,1029.8,54.0,54.0,19.1,61.1
apartamento,São Paulo,São Paulo,Paraíso,5500.0,5489.7,1716.3,0.0,86.0,20.0,64.0
apartamento,São Paulo,Taubaté,,1200.0,1218.3,380.9,0.0,63.0,6.0,19.0
apartamento,São Paulo,Votorantim,,1000.0,1009.6,315.6,67.0,67.0,4.7,14.9
apartamento,São Paulo,São Paulo,Ipiranga,1900.0,1929.0,603.1,0.0,55.0,11.0,34.5
apartamento,Rio de Janeiro,Rio de Janeiro,Copacabana,15000.0,15143.9,4734.5,220.0,220.0,21.5,68.2
apartamento,São Paulo,São Paulo,Campo Belo,2450.0,2445.4,764.5,90.0,90.0,8.5,27.2
apartamento,São Paulo,São Paulo,Vila Nova Conceição,12000.0,11977.5,3744.6,180.0,180.0,20.8,66.7
apartamento,São Paulo,Barueri,Jardim Iracema,1500.0,1497.2,468.1,0.0,57.0,8.2,26.3
apartamento,São Paulo,Campinas,Bosque,1300.0,1312.4,410.3,48.0,48.0,8.5,27.1
apartamento,São Paulo,São Paulo,Itaim Bibi,13000.0,12975.6,4056.7,162.0,304.0,13.3,42.8
apartamento,São Paulo,Cotia,Chácara Roselândia,700.0,706.7,220.9,50.0,45.0,4.9,15.6
apartamento,São Paulo,São Paulo,Butantã,1300.0,1297.5,405.7,0.0,60.0,6761.0,21.7
apartamento,São Paulo,São Paulo,Granja Julieta,4000.0,3992.5,1248.2,0.0,95.0,13.1,42.1
casa,São Paulo,Piracicaba,Vila Independência,1100.0,1097.9,343.2,82.0,67.0,5.1,16.4
apartamento,São Paulo,São Paulo,Cerqueira César,7000.0,6986.9,2184.4,160.0,205.0,10.7,34.1
apartamento,São Paulo,São Paulo,Vila Olímpia,8000.0,7985.0,2496.4,94.0,94.0,26.6,85.1
apartamento,São Paulo,São Paulo,Cerqueira César,8000.0,8076.8,2525.1,0.0,165.0,15.3,48.5
loja,São Paulo,Piracicaba,Alto,1000.0,998.1,312.0,107.0,23.0,13.6,43.5
loja,São Paulo,Campinas,Vila Georgina,20000.0,19962.5,6241.0,2023.0,1560.0,4.0,12.8
apartamento,São Paulo,São Paulo,Jardim Europa,23000.0,22956.9,7177.2,470.0,470.0,15.3,48.9
apartamento,Rio de Janeiro,Rio de Janeiro,Copacabana,15000.0,15229.5,4761.3,558.0,558.0,8.5,26.9
apartamento,São Paulo,São Paulo,Perdizes,1850.0,1846.5,577.3,80.0,80.0,7.2,23125.0
apartamento,São Paulo,Praia Grande,,1100.0,1097.9,343.2,70.0,60.0,5.7,18.3
apartamento,São Paulo,São Paulo,Itaim Bibi,7500.0,7485.9,2340.4,76.0,76.0,30.8,98.7
apartamento,São Paulo,São Paulo,Itaim Bibi,3400.0,3393.6,1061.0,0.0,105.0,10.1,32.4
apartamento,São Paulo,São Paulo,Itaim Bibi,5000.0,4990.6,1560.2,780.0,58.0,26.9,86.2
